City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,camana,-16.6228,-72.7111,291.96,89,69,3.87,PE,1698641780
1,karratha,-20.7377,116.8463,306.85,32,89,5.52,AU,1698641781
2,adamstown,-25.066,-130.1015,295.83,82,100,4.12,PN,1698641782
3,waitangi,-43.9535,-176.5597,286.38,76,66,1.79,NZ,1698641783
4,grytviken,-54.2811,-36.5092,276.88,99,100,4.31,GS,1698641783
5,ryotsu-minato,38.0833,138.4333,289.18,70,55,1.56,JP,1698641784
6,kargopol',61.5071,38.9456,264.29,99,70,1.3,RU,1698641786
7,invercargill,-46.4,168.35,287.87,57,2,3.33,NZ,1698641787
8,port-aux-francais,-49.35,70.2167,275.37,60,50,12.36,TF,1698641787
9,hawaiian paradise park,19.5933,-154.9731,298.88,87,100,0.45,US,1698641788
10,gadzhiyevo,69.2551,33.3362,266.61,92,100,4.83,RU,1698641789
11,bethel,41.3712,-73.414,283.35,89,100,2.06,US,1698641790
12,talavera la real,38.8779,-6.7686,286.57,96,96,3.43,ES,1698641791
13,bilibino,68.0546,166.4372,250.32,87,11,2.26,RU,1698641792
14,tiksi,71.6872,128.8694,255.93,98,99,3.14,RU,1698641793
15,fale old settlement,-9.3852,-171.2468,301.99,75,74,5.82,TK,1698641793
16,antalaha,-14.9003,50.2788,298.89,71,53,1.71,MG,1698641795
17,alofi,-19.0595,-169.9187,299.09,73,3,6.69,NU,1698641796
18,utrik,11.2278,169.8474,301.23,82,67,9.09,MH,1698641797
19,ilulissat,69.2167,-51.1,268.16,86,100,1.54,GL,1698641798
20,papatowai,-46.5619,169.4708,286.78,69,6,5.12,NZ,1698641799
21,pakxan,18.3778,103.6601,304.97,52,55,3.82,LA,1698641800
22,yicheng,31.3705,119.8703,295.78,60,0,2.33,CN,1698641801
23,blackmans bay,-43.0167,147.3167,290.22,49,94,5.63,AU,1698641802
24,west island,-12.1568,96.8225,301.14,74,100,8.23,CC,1698641802
25,tura,25.5198,90.2201,300.61,59,1,0.68,IN,1698641803
26,pocahontas,36.2615,-90.9712,280.36,92,100,6.69,US,1698641804
27,udachny,66.4167,112.4,254.51,76,96,4.53,RU,1698641805
28,vadso,70.0744,29.7487,268.24,86,20,5.66,NO,1698641805
29,lebu,-37.6167,-73.65,280.26,65,38,1.76,CL,1698641806
30,constantia,44.1833,28.65,283.53,70,0,2.49,RO,1698641807
31,upington,-28.4478,21.2561,285.36,37,0,3.6,ZA,1698641807
32,edinburgh of the seven seas,-37.0676,-12.3116,283.92,66,75,12.55,SH,1698641808
33,kapuskasing,49.4169,-82.4331,270.2,93,100,1.03,CA,1698641809
34,vorgashor,67.5833,63.95,254.7,98,41,2.15,RU,1698641810
35,cartagena del chaira,1.3349,-74.8429,295.79,97,100,0.66,CO,1698641811
36,moussoro,13.6408,16.4901,300.36,14,5,4.12,TD,1698641812
37,port mathurin,-19.6833,63.4167,298.12,77,8,6.79,MU,1698641719
38,margaret river,-33.95,115.0667,290.0,50,83,5.85,AU,1698641813
39,albany,42.6001,-73.9662,280.17,93,100,1.1,US,1698641534
40,dezhou,37.4486,116.2925,298.85,33,1,0.71,CN,1698641814
41,anadyr,64.75,177.4833,271.43,92,100,10.0,RU,1698641815
42,preobrazheniye,42.9019,133.9064,287.75,68,51,5.33,RU,1698641816
43,uturoa,-16.7333,-151.4333,299.7,77,6,6.68,PF,1698641816
44,kodiak,57.79,-152.4072,280.88,100,100,4.63,US,1698641817
45,el granada,37.5027,-122.4694,290.05,39,0,5.14,US,1698641818
46,el charco,2.4769,-78.1105,296.98,96,100,1.17,CO,1698641819
47,isafjordur,66.0755,-23.124,274.52,82,27,1.9,IS,1698641819
48,sandnessjoen,66.0217,12.6316,272.27,80,40,2.57,NO,1698641820
49,lompoc,34.6391,-120.4579,284.03,66,0,1.54,US,1698641822
50,maragogi,-9.0122,-35.2225,297.9,70,77,3.84,BR,1698641823
51,vernon,50.2581,-119.2691,273.87,65,14,2.57,CA,1698641824
52,alaghsas,17.0187,8.0168,297.78,13,1,4.45,NE,1698641825
53,wailua homesteads,22.0669,-159.378,298.59,81,20,5.66,US,1698641826
54,vilyuchinsk,52.9306,158.4028,277.3,63,77,3.06,RU,1698641827
55,klyuchi,52.2667,79.1667,274.35,98,100,4.82,RU,1698641828
56,la'ie,21.6477,-157.9253,301.13,74,16,0.89,US,1698641780
57,inhambane,-23.865,35.3833,293.15,88,75,6.71,MZ,1698641829
58,olonkinbyen,70.9221,-8.7187,273.41,71,100,2.96,SJ,1698641830
59,prado,-17.3411,-39.2208,296.4,80,83,4.33,BR,1698641831
60,argostolion,38.1811,20.489,290.79,66,0,1.65,GR,1698641747
61,bardai,11.65,7.2333,295.16,25,92,3.54,NG,1698641833
62,togur,58.3631,82.8265,266.11,72,7,2.55,RU,1698641833
63,ampanihy,-24.7,44.75,298.48,55,0,2.67,MG,1698641834
64,guerrero negro,27.9769,-114.0611,293.4,49,0,2.49,MX,1698641835
65,puerto natales,-51.7236,-72.4875,274.52,92,96,1.12,CL,1698641836
66,vila velha,-20.3297,-40.2925,298.12,78,20,3.6,BR,1698641803
67,ribeira grande,38.5167,-28.7,290.52,64,100,0.66,PT,1698641838
68,huinan,42.6225,126.2614,285.44,72,97,2.75,CN,1698641840
69,satsumasendai,31.8167,130.3,295.88,58,14,2.42,JP,1698641841
70,yamada,39.4667,141.95,288.92,70,63,3.48,JP,1698641841
71,yellowknife,62.456,-114.3525,262.82,97,0,2.57,CA,1698641588
72,mil'kovo,55.6078,37.7956,272.88,94,100,3.58,RU,1698641843
73,ingeniero guillermo n. juarez,-23.9,-61.85,297.1,88,94,2.43,AR,1698641845
74,sainte-suzanne,-20.9061,55.6089,301.25,73,13,7.2,RE,1698641846
75,port douglas,-16.4833,145.4667,298.55,62,92,5.75,AU,1698641847
76,queenstown,-31.8976,26.8753,279.33,70,27,7.19,ZA,1698641848
77,zacapu,19.8333,-101.7167,287.5,81,3,1.7,MX,1698641849
78,arraial do cabo,-22.9661,-42.0278,296.15,98,100,2.39,BR,1698641850
79,tsiombe,-25.3,45.4833,299.56,55,0,2.9,MG,1698641851
80,la reforma,25.0833,-108.05,297.64,80,0,3.5,MX,1698641853
81,arish,31.1316,33.7984,297.0,60,10,3.75,EG,1698641854
82,bedele,8.456,36.353,286.95,99,100,0.54,ET,1698641856
83,roma,43.2128,-75.4557,280.42,92,100,3.6,US,1698641742
84,jamestown,42.097,-79.2353,282.05,99,100,1.34,US,1698641623
85,hermanus,-34.4187,19.2345,285.34,67,0,7.57,ZA,1698641866
86,thompson,55.7435,-97.8558,268.24,93,100,3.6,CA,1698641867
87,ust-nera,64.5667,143.2,260.09,96,94,0.45,RU,1698641868
88,sinjar,36.3209,41.8754,296.78,34,99,1.03,IQ,1698641869
89,stanley,54.868,-1.6985,279.97,91,75,2.06,GB,1698641783
90,uvarovo,51.9849,42.2615,274.98,72,93,2.89,RU,1698641872
91,barra de santo antonio,-9.4047,-35.5072,295.75,70,95,4.74,BR,1698641872
92,batesville,35.7698,-91.641,279.95,98,100,2.57,US,1698641788
93,pithora,21.2667,82.5167,299.9,47,6,2.15,IN,1698641874
94,dalaba,10.7,-12.25,290.15,84,15,0.88,GN,1698641875
95,emporia,38.4039,-96.1817,274.26,60,20,5.66,US,1698641712
96,badger,64.8,-147.5333,270.08,90,75,0.0,US,1698641878
97,kosh-agach,50.0,88.6667,272.21,67,83,0.89,RU,1698641878
98,sitka,57.0531,-135.33,279.09,81,75,2.06,US,1698641665
99,lauro de freitas,-12.8944,-38.3272,299.16,73,40,4.63,BR,1698641880
100,fort bragg,35.139,-79.006,293.05,84,0,3.09,US,1698641881
101,san sebastian de la gomera,28.0916,-17.1133,296.35,64,0,0.51,ES,1698641884
102,nar'yan-mar,67.6713,53.087,265.99,93,100,6.26,RU,1698641888
103,winnemucca,40.973,-117.7357,268.18,39,0,1.54,US,1698641610
104,ulladulla,-35.35,150.4667,304.13,33,100,1.51,AU,1698641894
105,saipan,15.1355,145.701,304.54,74,40,6.69,MP,1698641895
106,enewetak,11.3474,162.3373,302.07,72,77,9.47,MH,1698641896
107,nadym,65.5333,72.5167,261.38,84,15,1.51,RU,1698641897
108,mariental,-24.6333,17.9667,289.23,14,0,1.76,NA,1698641898
109,labrador city,52.9463,-66.9114,267.1,86,20,3.09,CA,1698641899
110,iqaluit,63.7506,-68.5145,264.0,78,75,5.66,CA,1698641900
111,howrah,22.5892,88.3103,302.15,61,20,3.6,IN,1698641901
112,avarua,-21.2078,-159.775,296.18,68,75,5.66,CK,1698641902
113,lorengau,-2.0226,147.2712,298.53,84,100,1.88,PG,1698641903
114,rongelap,11.1635,166.8941,301.77,77,19,8.34,MH,1698641903
115,georgetown,5.4112,100.3354,304.36,81,20,3.6,MY,1698641905
116,dolores,-36.3132,-57.6792,286.24,57,65,4.91,AR,1698641906
117,flin flon,54.7682,-101.865,269.12,95,100,3.04,CA,1698641907
118,velingrad,42.0272,23.9957,283.3,68,0,2.2,BG,1698641908
119,otjimbingwe,-22.35,16.1333,295.28,24,1,1.96,NA,1698641909
120,la passe,45.5549,-0.8967,286.28,94,100,6.03,FR,1698641909
121,iskateley,67.6803,53.1512,265.94,93,100,6.26,RU,1698641910
122,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,59,75,2.0,RU,1698641911
123,salumbar,24.1333,74.05,302.38,29,61,1.63,IN,1698641912
124,varde,55.6211,8.4807,284.25,93,75,8.75,DK,1698641734
125,puerto ayora,-0.7393,-90.3518,296.79,91,100,1.34,EC,1698641915
126,praia da vitoria,38.7333,-27.0667,286.9,94,20,1.41,PT,1698641915
127,mangai,-4.05,19.5333,295.06,94,98,0.1,CD,1698641916
128,new norfolk,-42.7826,147.0587,290.87,61,81,3.99,AU,1698641917
129,novomalorossiyskaya,45.6348,39.8948,285.66,60,0,2.6,RU,1698641918
130,fortuna,40.5982,-124.1573,282.34,90,0,4.12,US,1698641919
131,port elizabeth,-33.918,25.5701,286.66,80,40,3.09,ZA,1698641920
132,tchibanga,-2.85,11.0333,295.82,99,68,0.26,GA,1698641920
133,krasnoufimsk,56.6059,57.7669,270.59,97,100,4.03,RU,1698641925
134,keflavik,64.0049,-22.5624,276.39,75,0,3.6,IS,1698641927
135,gulaothi,28.6,77.7833,300.94,36,1,1.86,IN,1698641927
136,aasiaat,68.7098,-52.8699,267.17,86,100,4.29,GL,1698641928
137,geraldton,-28.7667,114.6,296.38,53,1,9.26,AU,1698641929
138,kabalo,-6.05,26.9167,295.41,91,100,1.26,CD,1698641930
139,longyearbyen,78.2186,15.6401,268.06,86,75,5.66,SJ,1698641931
140,montevideo,-34.8335,-56.1674,289.99,100,75,7.2,UY,1698641888
141,egilsstadir,65.2653,-14.3948,273.1,93,40,2.06,IS,1698641933
142,beypazari,40.1675,31.9211,289.75,66,100,1.86,TR,1698641933
143,goure,13.9835,10.2704,298.98,20,2,3.87,NE,1698641934
144,san luis de la loma,17.2706,-100.8939,299.09,87,62,1.68,MX,1698641935
145,sao felix do xingu,-6.6447,-51.995,297.41,67,6,0.13,BR,1698641936
146,znamenskoye,57.1281,73.8282,269.5,76,100,4.83,RU,1698641937
147,arafat,21.3594,39.9664,301.05,54,12,0.8,SA,1698641938
148,singkil,-7.9855,111.4161,309.25,32,31,3.07,ID,1698641938
149,dudinka,69.4058,86.1778,254.05,98,69,0.97,RU,1698641939
150,rimus,16.8764,120.3966,302.61,68,75,2.5,PH,1698641940
151,mpongwe,-13.5091,28.155,293.38,77,100,2.72,ZM,1698641941
152,malvan,16.0667,73.4667,302.59,57,88,1.74,IN,1698641942
153,lihue,21.9789,-159.3672,298.92,77,20,5.66,US,1698641943
154,whitehorse,60.7161,-135.0538,272.6,91,100,7.72,CA,1698641672
155,port augusta,-32.5,137.7667,301.99,23,46,9.44,AU,1698641944
156,kruisfontein,-34.0033,24.7314,285.31,69,17,4.15,ZA,1698641945
157,codrington,-38.2667,141.9667,289.14,48,74,11.14,AU,1698641945
158,christchurch,-43.5333,172.6333,289.0,72,75,9.77,NZ,1698641901
159,buinsk,54.95,48.2833,273.12,89,100,6.73,RU,1698641947
160,union hidalgo,16.4723,-94.8295,298.29,78,100,4.66,MX,1698641948
161,otmuchow,50.4663,17.1735,286.2,81,100,3.65,PL,1698641949
162,crane,31.3974,-102.3501,276.43,70,100,8.3,US,1698641950
163,port moresby,-9.4431,147.1797,302.83,74,75,10.29,PG,1698641951
164,deqen,29.9618,90.7188,280.1,44,79,1.59,CN,1698641951
165,berdigestyakh,62.0989,126.6992,263.84,88,23,1.16,RU,1698641952
166,san antonio de pale,-1.4014,5.6325,299.68,83,79,4.8,GQ,1698641953
167,kreuzlingen,47.65,9.1833,283.6,94,65,0.45,CH,1698641954
168,mao,39.8885,4.2658,291.46,94,40,0.51,ES,1698641956
169,mo i rana,66.3128,14.1428,267.41,79,100,3.6,NO,1698641957
170,nouadhibou,20.931,-17.0347,293.14,88,0,2.57,MR,1698641958
171,copala,16.65,-98.9833,298.8,88,34,2.05,MX,1698641959
172,vila franca do campo,37.7167,-25.4333,288.08,99,100,0.96,PT,1698641961
173,lycksele,64.5954,18.6735,265.08,93,100,3.09,SE,1698641962
174,santa maria,-29.6842,-53.8069,293.01,93,3,2.03,BR,1698641965
175,hadibu,12.65,54.0333,300.24,70,99,4.11,YE,1698641971
176,plettenberg bay,-34.0527,23.3716,286.38,65,4,4.14,ZA,1698641972
177,sambhal,28.5833,78.55,300.25,38,0,1.35,IN,1698641972
178,zhezqazghan,47.7833,67.7667,283.47,87,40,5.0,KZ,1698641973
179,ushuaia,-54.8,-68.3,271.96,93,100,7.72,AR,1698641974
180,saint-pierre,-21.3393,55.4781,300.69,69,20,4.63,RE,1698641975
181,aykhal,66.0,111.5,253.66,93,95,1.45,RU,1698641975
182,sao joao da barra,-21.6403,-41.0511,295.95,93,98,0.86,BR,1698641976
183,touros,-5.1989,-35.4608,298.0,75,36,6.15,BR,1698641977
184,tabuk,17.4189,121.4443,301.84,66,99,1.84,PH,1698641978
185,ola,59.5833,151.2833,272.96,62,6,0.83,RU,1698641978
